id,bw,duration,packets,data_pkts,data_bytes,rexmit_pkts,rexmit_bytes,rtt_avg,rtt_min,rtt_max,stdev_rtt,rtt_count,reordering,ttl_min,ttl_max,max_seg_size,min_seg_size,win_max,win_min,rtx_RTO,rtx_FR,net_dup,flow_control,unnece_rtx_RTO,stallCount,qualityChanges,skippedFrames,fpsChanges,twitch_backend
10073,9.0,120.0,640.0,49.0,1634.6363636363637,0.0,0.0,20.571857272727275,0.434,113.55236363636364,47.075463090909096,69.0,0.0,64.0,796.0,25.90909090909091,64475.454545454544,58411.181818181816,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,6,1.7.0-twitch.1-rc.1
10074,11.0,120.0,737.0,51.0,1764.7272727272727,0.0,0.0,17.600113,0.4519090909090909,97.6239090909091,40.157857,70.0,0.0,64.0,790.2727272727273,34.54545454545455,64475.454545454544,58290.454545454544,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
10075,14.0,120.0,523.0,53.0,1797.25,0.0,0.0,16.273399166666668,0.45875,86.76358333333333,36.40288866666666,74.0,0.0,64.0,947.0,25.166666666666668,64455.833333333336,58248.75,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,9,1.7.0-twitch.1-rc.1
10076,5.0,120.0,566.0,52.0,1862.5833333333333,0.0,0.0,39.22637191666667,23.60175,105.94749999999999,35.21190716666667,73.0,0.0,64.0,789.75,31.083333333333332,64455.833333333336,58571.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,74,8,1.7.0-twitch.1-rc.1
10077,7.0,120.0,864.0,130.0,3500.96,0.0,0.0,15.00518012,0.50124,77.57616,33.0711198,145.0,0.0,64.0,1194.0,24.56,64395.4,60074.52,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,10,1.7.0-twitch.1-rc.1
10078,9.0,120.0,814.0,64.0,1650.8666666666666,0.0,0.0,18.0405124,0.5126666666666667,94.75426666666667,40.1444584,91.0,0.0,64.0,884.4666666666667,25.4,64412.666666666664,54247.4,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,7,1.7.0-twitch.1-rc.1
10079,11.0,120.0,208.0,39.0,1310.3636363636363,0.0,0.0,46.50972872727272,23.492181818181816,142.96563636363638,52.16502154545455,57.0,0.0,64.0,746.0,33.0,64240.0,61674.181818181816,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,10,1.7.0-twitch.1-rc.1
10080,14.0,120.0,673.0,107.0,6495.133333333333,0.0,0.0,32.0404854,17.695133333333334,100.17666666666668,33.633162666666664,129.0,0.0,64.0,973.2,30.133333333333333,64499.0,61726.73333333333,0.0,0.0,0.0,0.0,0.0,0.0,2,2,182,8,1.7.0-twitch.1-rc.1
10081,5.0,120.0,451.0,83.0,6730.272727272727,0.0,0.0,17.026067363636365,0.47472727272727266,95.99218181818182,38.69503972727273,100.0,0.0,64.0,957.9090909090909,34.54545454545455,64357.72727272727,61517.27272727273,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,10,1.7.0-twitch.1-rc.1
10082,7.0,120.0,196.0,36.0,2115.0,0.0,0.0,25.930203111111112,0.4633333333333333,95.5398888888889,29.176647777777777,50.0,0.0,64.0,889.7777777777778,22.11111111111111,64240.0,60387.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,2,4,126,9,1.7.0-twitch.1-rc.1
